S.No,Date,Open,High,Low,Close,Adj Close,Volume,MA20,MA50,RSI,MACD,Signal Line,BB_upper,BB_middle,BB_lower,50_MA,200_MA,Daily_Returns,Volatility,Differenced_Close
1,6/22/2011,1.824666977,1.883332968,1.80666697,1.81400001,1.81400001,22134000,1.87776655,1.818253295,48.14152749,-0.010036236,0.004608511,2.032229097,1.87776655,1.723304002,1.818253295,1.704510002,-0.011623492,0.029668868,-0.021332979
2,6/23/2011,1.813333035,1.84800005,1.74733305,1.847332954,1.847332954,17550000,1.873533195,1.822333295,50.84708669,-0.007673841,0.00215204,2.026451408,1.873533195,1.720614982,1.822333295,1.706780002,0.018375382,0.029508529,0.033332944
3,6/24/2011,1.842666984,1.864667058,1.817332983,1.838000059,1.838000059,54127500,1.867166549,1.825853298,50.05958415,-0.006480015,0.000425629,2.014777265,1.867166549,1.719555832,1.825853298,1.709066668,-0.005052092,0.029502273,-0.009332895
4,6/27/2011,1.848667026,1.885332942,1.820667028,1.830667019,1.830667019,27141000,1.860199898,1.828946638,49.41203758,-0.006055806,-0.000870658,2.000721374,1.860199898,1.719678423,1.828946638,1.711496668,-0.003989684,0.029503107,-0.00733304
5,6/28/2011,1.852666974,1.883332968,1.844666958,1.873999953,1.873999953,13338000,1.853433251,1.832319977,53.25967561,-0.002197679,-0.001136062,1.976531152,1.853433251,1.730335351,1.832319977,1.713960003,0.023670571,0.029581239,0.043332934
6,6/29/2011,1.899999976,1.939332962,1.871333003,1.886000037,1.886000037,21927000,1.852666605,1.836666639,54.29636495,0.001807387,-0.000547372,1.974748481,1.852666605,1.730584728,1.836666639,1.716350003,0.00640346,0.029385362,0.012000084
7,6/30/2011,1.899999976,1.955332994,1.893332958,1.942000031,1.942000031,14200500,1.853899956,1.84195998,58.87988954,0.009391898,0.001440482,1.979030461,1.853899956,1.72876945,1.84195998,1.718733338,0.029692467,0.029628119,0.055999994
8,7/1/2011,1.937999964,1.973333001,1.919999957,1.934666991,1.934666991,12823500,1.850199956,1.846319978,58.05878671,0.014642177,0.004080821,1.960277106,1.850199956,1.740122805,1.846319978,1.721426673,-0.003776025,0.029501297,-0.00733304
9,7/5/2011,1.934666991,1.968000054,1.914000034,1.942667007,1.942667007,14940000,1.851666653,1.849519978,58.73487775,0.019226959,0.007110049,1.965777335,1.851666653,1.737555971,1.849519978,1.724396673,0.004135087,0.029051229,0.008000016
10,7/6/2011,1.942667007,1.942667007,1.903332949,1.930667043,1.930667043,13903500,1.853633356,1.852946658,57.24424785,0.021642652,0.010016569,1.971698189,1.853633356,1.735568523,1.852946658,1.727030008,-0.006177057,0.028993712,-0.011999965
11,7/7/2011,1.942667007,2.0,1.934000015,1.981999993,1.981999993,19918500,1.862333357,1.856679997,61.71982101,0.027383585,0.013489972,1.990846634,1.862333357,1.733820081,1.856679997,1.730016673,0.026588194,0.02908496,0.051332951
12,7/8/2011,1.99266696,1.99266696,1.906000018,1.920667052,1.920667052,18609000,1.866300058,1.858986678,54.3935384,0.026676747,0.016127327,1.996856883,1.866300058,1.735743233,1.858986678,1.732996673,-0.030944975,0.029459539,-0.061332941
13,7/11/2011,1.893332958,1.90199995,1.866667032,1.889999986,1.889999986,14637000,1.86793341,1.859906678,51.12569411,0.023372572,0.017576376,1.998817591,1.86793341,1.73704923,1.859906678,1.735926673,-0.015966883,0.029422265,-0.030667067
14,7/12/2011,1.891332984,1.939332962,1.866667032,1.878000021,1.878000021,15681000,1.867066759,1.860666678,49.86332121,0.019560215,0.017973144,1.997442307,1.867066759,1.73669121,1.860666678,1.738616673,-0.006349188,0.029437138,-0.011999965
15,7/13/2011,1.895333052,1.935333014,1.860000014,1.909332991,1.909332991,15990000,1.867200059,1.862253337,53.11836942,0.018849913,0.018148498,1.997742633,1.867200059,1.736657484,1.862253337,1.741320003,0.016684222,0.02950719,0.03133297
16,7/14/2011,1.90199995,1.930667043,1.816666961,1.840667009,1.840667009,17385000,1.868166757,1.863240018,46.0607586,0.012600967,0.017038992,1.997618175,1.868166757,1.738715338,1.863240018,1.743390003,-0.035963335,0.02981004,-0.068665981
17,7/15/2011,1.852666974,1.855332971,1.826666951,1.838667035,1.838667035,10635000,1.871766758,1.864426699,45.86959494,0.007401927,0.015111579,1.993501866,1.871766758,1.75003165,1.864426699,1.745256673,-0.001086549,0.029791113,-0.001999974
